iter	Passed	Remaining
0	1	108
1	1	89
2	3	102
3	3	90
4	4	84
5	5	80
6	5	76
7	6	73
8	8	82
9	8	80
10	9	78
11	10	75
12	11	74
13	11	72
14	12	70
15	14	74
16	14	72
17	15	71
18	16	69
19	17	68
20	17	67
21	18	65
22	19	65
23	20	64
24	20	62
25	21	61
26	22	60
27	22	58
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	27	52
34	27	51
35	28	50
36	29	49
37	29	48
38	30	48
39	31	47
40	32	46
41	32	44
42	32	43
43	33	42
44	34	42
45	35	41
46	35	40
47	36	39
48	37	38
49	37	37
50	38	36
51	39	36
52	39	35
53	40	34
54	40	33
55	41	32
56	42	32
57	43	31
58	43	30
59	44	29
60	45	28
61	45	28
62	46	27
63	47	26
64	47	25
65	48	24
66	49	24
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	53	18
74	54	18
75	55	17
76	56	16
77	56	16
78	57	15
79	58	14
80	59	13
81	59	13
82	60	12
83	61	11
84	61	10
85	62	10
86	63	9
87	64	8
88	64	7
89	65	7
90	65	6
91	66	5
92	67	5
93	67	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
