iter	Passed	Remaining
0	167	167423
1	171	85574
2	174	57954
3	176	43831
4	179	35675
5	182	30316
6	184	26214
7	187	23249
8	191	21045
9	192	19095
10	194	17480
11	196	16163
12	197	15013
13	200	14103
14	202	13314
15	205	12645
16	207	11970
17	208	11391
18	210	10854
19	211	10380
20	213	9949
21	215	9563
22	218	9270
23	219	8945
24	221	8631
25	222	8347
26	224	8089
27	225	7842
28	227	7606
29	228	7391
30	229	7185
31	232	7022
32	233	6853
33	235	6690
34	236	6533
35	238	6385
36	239	6240
37	241	6120
38	243	5992
39	244	5866
40	247	5792
41	250	5703
42	251	5593
43	252	5496
44	254	5399
45	256	5312
46	257	5223
47	260	5158
48	265	5154
49	269	5116
50	270	5040
51	273	4977
52	277	4953
53	282	4944
54	286	4929
55	288	4859
56	289	4787
57	291	4729
58	292	4672
59	294	4611
60	295	4548
61	297	4493
62	298	4438
63	300	4387
64	301	4335
65	302	4285
66	305	4252
67	306	4207
68	308	4162
69	310	4120
70	311	4081
71	313	4041
72	315	4001
73	316	3959
74	317	3919
75	320	3890
76	321	3856
77	323	3819
78	324	3780
79	325	3743
80	326	3709
81	328	3675
82	329	3636
83	330	3605
84	333	3587
85	334	3559
86	336	3529
87	337	3498
88	338	3468
89	340	3440
90	341	3412
91	342	3382
92	344	3355
93	345	3329
94	346	3302
95	348	3277
96	350	3259
97	351	3239
98	353	3215
99	354	3193
100	356	3170
101	357	3146
102	358	3125
103	360	3108
104	362	3087
105	363	3068
106	365	3048
107	366	3029
108	368	3010
109	369	2990
110	370	2969
111	372	2949
112	373	2930
113	374	2910
114	377	2907
115	380	2901
116	382	2884
117	383	2869
118	385	2855
119	387	2839
120	388	2822
121	389	2805
122	391	2788
123	392	2772
124	394	2759
125	395	2746
126	397	2730
127	398	2714
128	399	2699
129	401	2685
130	402	2669
131	403	2654
132	405	2641
133	406	2625
134	407	2610
135	410	2608
136	411	2594
137	413	2580
138	414	2565
139	415	2551
140	416	2536
141	417	2520
142	418	2506
143	419	2493
144	420	2480
145	421	2467
146	423	2460
147	425	2449
148	426	2438
149	428	2427
150	429	2417
151	431	2406
152	432	2394
153	433	2382
154	434	2371
155	436	2359
156	437	2348
157	440	2347
158	442	2341
159	444	2332
160	445	2320
161	446	2310
162	447	2300
163	449	2289
164	450	2278
165	451	2267
166	452	2258
167	454	2252
168	456	2244
169	457	2234
170	459	2225
171	460	2216
172	462	2211
173	463	2202
174	465	2193
175	466	2183
176	469	2182
177	470	2174
178	472	2165
179	473	2155
180	474	2146
181	475	2136
182	476	2128
183	477	2118
184	478	2109
185	480	2101
186	481	2092
187	482	2085
188	484	2079
189	485	2071
190	487	2063
191	488	2056
192	489	2048
193	490	2039
194	491	2030
195	492	2022
196	494	2014
197	495	2006
198	496	1998
199	498	1995
200	500	1988
201	501	1981
202	502	1974
203	504	1966
204	505	1958
205	506	1951
206	507	1945
207	509	1939
208	510	1933
209	513	1932
210	515	1927
211	517	1922
212	518	1916
213	520	1912
214	521	1905
215	523	1901
216	525	1897
217	527	1893
218	529	1889
219	531	1883
220	532	1876
221	533	1870
222	534	1863
223	536	1859
224	537	1852
225	539	1846
226	540	1839
227	542	1837
228	544	1833
229	545	1827
230	546	1820
231	548	1814
232	550	1810
233	551	1805
234	552	1799
235	553	1792
236	554	1786
237	555	1780
238	557	1775
239	558	1770
240	560	1764
241	561	1758
242	562	1751
243	563	1745
244	564	1739
245	565	1733
246	566	1727
247	567	1721
248	568	1715
249	569	1709
250	571	1704
251	572	1700
252	574	1695
253	575	1690
254	576	1684
255	577	1679
256	579	1674
257	580	1669
258	581	1664
259	582	1659
260	584	1653
261	585	1648
262	587	1646
263	588	1641
264	590	1637
265	591	1631
266	592	1627
267	593	1622
268	595	1617
269	596	1612
270	597	1607
271	598	1602
272	599	1597
273	601	1594
274	603	1590
275	605	1588
276	606	1583
277	608	1579
278	609	1574
279	610	1569
280	611	1564
281	612	1559
282	613	1555
283	614	1550
284	616	1546
285	617	1542
286	619	1538
287	620	1534
288	621	1530
289	623	1525
290	624	1520
291	625	1515
292	626	1510
293	627	1506
294	628	1501
295	629	1497
296	630	1492
297	632	1490
298	634	1487
299	635	1483
300	636	1479
301	638	1475
302	639	1470
303	640	1466
304	641	1462
305	642	1458
306	644	1453
307	645	1449
308	646	1445
309	648	1442
310	649	1438
311	650	1434
312	651	1430
313	652	1426
314	653	1422
315	655	1417
316	656	1413
317	657	1409
318	658	1405
319	659	1400
320	660	1396
321	661	1393
322	663	1390
323	664	1386
324	665	1382
325	666	1378
326	668	1375
327	669	1371
328	670	1367
329	671	1363
330	672	1359
331	673	1355
332	674	1351
333	676	1349
334	678	1346
335	680	1343
336	681	1340
337	682	1336
338	683	1333
339	685	1330
340	686	1326
341	687	1322
342	688	1319
343	690	1317
344	693	1316
345	694	1313
346	696	1310
347	697	1306
348	699	1304
349	700	1300
350	701	1297
351	702	1294
352	704	1292
353	707	1290
354	708	1288
355	711	1286
356	712	1283
357	714	1281
358	715	1278
359	717	1275
360	719	1273
361	721	1271
362	723	1268
363	724	1266
364	725	1262
365	727	1259
366	728	1256
367	729	1253
368	730	1249
369	732	1246
370	734	1244
371	735	1241
372	737	1239
373	739	1237
374	740	1234
375	742	1231
376	744	1230
377	745	1226
378	746	1223
379	748	1220
380	749	1217
381	751	1215
382	752	1213
383	754	1210
384	755	1206
385	758	1206
386	760	1203
387	762	1202
388	763	1200
389	765	1197
390	768	1196
391	769	1194
392	771	1191
393	772	1188
394	773	1185
395	775	1182
396	776	1179
397	778	1177
398	779	1174
399	781	1171
400	784	1171
401	785	1168
402	787	1166
403	788	1163
404	789	1160
405	791	1157
406	792	1154
407	794	1152
408	795	1149
409	797	1147
410	799	1145
411	801	1143
412	802	1140
413	804	1138
414	805	1135
415	807	1133
416	808	1130
417	810	1128
418	813	1127
419	815	1125
420	816	1123
421	817	1120
422	819	1118
423	821	1115
424	822	1112
425	823	1109
426	824	1106
427	827	1105
428	829	1103
429	830	1101
430	832	1099
431	834	1096
432	835	1093
433	836	1091
434	837	1087
435	838	1085
436	839	1082
437	841	1079
438	843	1077
439	844	1074
440	845	1072
441	847	1069
442	848	1066
443	849	1063
444	851	1061
445	852	1058
446	853	1056
447	855	1054
448	858	1053
449	859	1050
450	860	1047
451	862	1045
452	863	1042
453	864	1039
454	865	1037
455	867	1034
456	868	1032
457	869	1029
458	871	1027
459	873	1025
460	874	1022
461	875	1020
462	877	1017
463	878	1014
464	879	1011
465	880	1008
466	881	1006
467	882	1003
468	884	1001
469	887	1000
470	889	998
471	890	996
472	892	994
473	893	991
474	894	989
475	896	986
476	897	983
477	898	980
478	899	978
479	902	977
480	904	975
481	905	973
482	906	970
483	908	968
484	909	965
485	911	963
486	912	960
487	913	958
488	914	956
489	916	954
490	918	952
491	920	950
492	922	948
493	924	947
494	926	945
495	928	943
496	929	940
497	931	938
498	932	936
499	934	934
